,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
01/15/2007,88.6792452830189
01/22/2007,88.6792452830189
01/29/2007,88.6792452830189
02/05/2007,88.6792452830189
02/12/2007,88.6792452830189
02/19/2007,88.6792452830189
02/26/2007,88.6792452830189
03/05/2007,88.6792452830189
03/12/2007,88.6792452830189
03/19/2007,88.6792452830189
03/26/2007,88.6792452830189
04/02/2007,88.6792452830189
04/09/2007,88.6792452830189
04/16/2007,88.6792452830189
04/23/2007,88.6792452830189
04/30/2007,88.6792452830189
05/07/2007,88.6792452830189
05/14/2007,88.6792452830189
05/21/2007,88.6792452830189
05/28/2007,88.6792452830189
06/04/2007,88.6792452830189
06/11/2007,88.6792452830189
06/18/2007,88.6792452830189
06/25/2007,88.6792452830189
07/02/2007,88.6792452830189
07/09/2007,88.6792452830189
07/16/2007,88.6792452830189
07/23/2007,88.6792452830189
07/30/2007,88.6792452830189
08/06/2007,88.6792452830189
08/13/2007,88.6792452830189
08/20/2007,88.6792452830189
08/27/2007,88.6792452830189
09/03/2007,88.6792452830189
09/10/2007,88.6792452830189
09/17/2007,88.6792452830189
09/24/2007,88.6792452830189
10/01/2007,88.6792452830189
10/08/2007,88.6792452830189
10/15/2007,88.6792452830189
10/22/2007,88.6792452830189
10/29/2007,88.6792452830189
11/05/2007,88.6792452830189
11/12/2007,88.6792452830189
11/19/2007,88.6792452830189
11/26/2007,88.6792452830189
12/03/2007,88.6792452830189
12/10/2007,88.6792452830189
12/17/2007,88.6792452830189
12/24/2007,88.6792452830189
12/31/2007,88.6792452830189
01/07/2008,92.3076923076923
01/14/2008,92.3076923076923
01/21/2008,92.3076923076923
01/28/2008,92.3076923076923
02/04/2008,92.3076923076923
02/11/2008,92.3076923076923
02/18/2008,92.3076923076923
02/25/2008,92.3076923076923
03/03/2008,92.3076923076923
03/10/2008,92.3076923076923
03/17/2008,92.3076923076923
03/24/2008,92.3076923076923
03/31/2008,92.3076923076923
04/07/2008,92.3076923076923
04/14/2008,92.3076923076923
04/21/2008,92.3076923076923
04/28/2008,92.3076923076923
05/05/2008,92.3076923076923
05/12/2008,92.3076923076923
05/19/2008,92.3076923076923
05/26/2008,92.3076923076923
06/02/2008,92.3076923076923
06/09/2008,92.3076923076923
06/16/2008,92.3076923076923
06/23/2008,92.3076923076923
06/30/2008,92.3076923076923
07/07/2008,92.3076923076923
07/14/2008,92.3076923076923
07/21/2008,92.3076923076923
07/28/2008,92.3076923076923
08/04/2008,92.3076923076923
08/11/2008,92.3076923076923
08/18/2008,92.3076923076923
08/25/2008,92.3076923076923
09/01/2008,92.3076923076923
09/08/2008,92.3076923076923
09/15/2008,92.3076923076923
09/22/2008,92.3076923076923
09/29/2008,92.3076923076923
10/06/2008,92.3076923076923
10/13/2008,92.3076923076923
10/20/2008,92.3076923076923
10/27/2008,92.3076923076923
11/03/2008,92.3076923076923
11/10/2008,92.3076923076923
11/17/2008,92.3076923076923
11/24/2008,92.3076923076923
12/01/2008,92.3076923076923
12/08/2008,92.3076923076923
12/15/2008,92.3076923076923
12/22/2008,92.3076923076923
12/29/2008,92.3076923076923
01/05/2009,96.1538461538462
01/12/2009,96.1538461538462
01/19/2009,96.1538461538462
01/26/2009,96.1538461538462
02/02/2009,96.1538461538462
02/09/2009,96.1538461538462
02/16/2009,96.1538461538462
02/23/2009,96.1538461538462
03/02/2009,96.1538461538462
03/09/2009,96.1538461538462
03/16/2009,96.1538461538462
03/23/2009,96.1538461538462
03/30/2009,96.1538461538462
04/06/2009,96.1538461538462
04/13/2009,96.1538461538462
04/20/2009,96.1538461538462
04/27/2009,96.1538461538462
05/04/2009,96.1538461538462
05/11/2009,96.1538461538462
05/18/2009,96.1538461538462
05/25/2009,96.1538461538462
06/01/2009,96.1538461538462
06/08/2009,96.1538461538462
06/15/2009,96.1538461538462
06/22/2009,96.1538461538462
06/29/2009,96.1538461538462
07/06/2009,96.1538461538462
07/13/2009,96.1538461538462
07/20/2009,96.1538461538462
07/27/2009,96.1538461538462
08/03/2009,96.1538461538462
08/10/2009,96.1538461538462
08/17/2009,96.1538461538462
08/24/2009,96.1538461538462
08/31/2009,96.1538461538462
09/07/2009,96.1538461538462
09/14/2009,96.1538461538462
09/21/2009,96.1538461538462
09/28/2009,96.1538461538462
10/05/2009,96.1538461538462
10/12/2009,96.1538461538462
10/19/2009,96.1538461538462
10/26/2009,96.1538461538462
11/02/2009,96.1538461538462
11/09/2009,96.1538461538462
11/16/2009,96.1538461538462
11/23/2009,96.1538461538462
11/30/2009,96.1538461538462
12/07/2009,96.1538461538462
12/14/2009,96.1538461538462
12/21/2009,96.1538461538462
12/28/2009,96.1538461538462
01/04/2010,57.6923076923077
01/11/2010,57.6923076923077
01/18/2010,57.6923076923077
01/25/2010,57.6923076923077
02/01/2010,57.6923076923077
02/08/2010,57.6923076923077
02/15/2010,57.6923076923077
02/22/2010,57.6923076923077
03/01/2010,57.6923076923077
03/08/2010,57.6923076923077
03/15/2010,57.6923076923077
03/22/2010,57.6923076923077
03/29/2010,57.6923076923077
04/05/2010,57.6923076923077
04/12/2010,57.6923076923077
04/19/2010,57.6923076923077
04/26/2010,57.6923076923077
05/03/2010,57.6923076923077
05/10/2010,57.6923076923077
05/17/2010,57.6923076923077
05/24/2010,57.6923076923077
05/31/2010,57.6923076923077
06/07/2010,57.6923076923077
06/14/2010,57.6923076923077
06/21/2010,57.6923076923077
06/28/2010,57.6923076923077
07/05/2010,57.6923076923077
07/12/2010,57.6923076923077
07/19/2010,57.6923076923077
07/26/2010,57.6923076923077
08/02/2010,57.6923076923077
08/09/2010,57.6923076923077
08/16/2010,57.6923076923077
08/23/2010,57.6923076923077
08/30/2010,57.6923076923077
09/06/2010,57.6923076923077
09/13/2010,57.6923076923077
09/20/2010,57.6923076923077
09/27/2010,57.6923076923077
10/04/2010,57.6923076923077
10/11/2010,57.6923076923077
10/18/2010,57.6923076923077
10/25/2010,57.6923076923077
11/01/2010,57.6923076923077
11/08/2010,57.6923076923077
11/15/2010,57.6923076923077
11/22/2010,57.6923076923077
11/29/2010,57.6923076923077
12/06/2010,57.6923076923077
12/13/2010,57.6923076923077
12/20/2010,57.6923076923077
12/27/2010,57.6923076923077
01/03/2011,153.846153846154
01/10/2011,153.846153846154
01/17/2011,153.846153846154
01/24/2011,153.846153846154
01/31/2011,153.846153846154
02/07/2011,153.846153846154
02/14/2011,153.846153846154
02/21/2011,153.846153846154
02/28/2011,153.846153846154
03/07/2011,153.846153846154
03/14/2011,153.846153846154
03/21/2011,153.846153846154
03/28/2011,153.846153846154
04/04/2011,153.846153846154
04/11/2011,153.846153846154
04/18/2011,153.846153846154
04/25/2011,153.846153846154
05/02/2011,153.846153846154
05/09/2011,153.846153846154
05/16/2011,153.846153846154
05/23/2011,153.846153846154
05/30/2011,153.846153846154
06/06/2011,153.846153846154
06/13/2011,153.846153846154
06/20/2011,153.846153846154
06/27/2011,153.846153846154
07/04/2011,153.846153846154
07/11/2011,153.846153846154
07/18/2011,153.846153846154
07/25/2011,153.846153846154
08/01/2011,153.846153846154
08/08/2011,153.846153846154
08/15/2011,153.846153846154
08/22/2011,153.846153846154
08/29/2011,153.846153846154
09/05/2011,153.846153846154
09/12/2011,153.846153846154
09/19/2011,153.846153846154
09/26/2011,153.846153846154
10/03/2011,153.846153846154
10/10/2011,153.846153846154
10/17/2011,153.846153846154
10/24/2011,153.846153846154
10/31/2011,153.846153846154
11/07/2011,153.846153846154
11/14/2011,153.846153846154
11/21/2011,153.846153846154
11/28/2011,153.846153846154
12/05/2011,153.846153846154
12/12/2011,153.846153846154
12/19/2011,153.846153846154
12/26/2011,153.846153846154
01/02/2012,179.245283018868
01/09/2012,179.245283018868
01/16/2012,179.245283018868
01/23/2012,179.245283018868
01/30/2012,179.245283018868
02/06/2012,179.245283018868
02/13/2012,179.245283018868
02/20/2012,179.245283018868
02/27/2012,179.245283018868
03/05/2012,179.245283018868
03/12/2012,179.245283018868
03/19/2012,179.245283018868
03/26/2012,179.245283018868
04/02/2012,179.245283018868
04/09/2012,179.245283018868
04/16/2012,179.245283018868
04/23/2012,179.245283018868
04/30/2012,179.245283018868
05/07/2012,179.245283018868
05/14/2012,179.245283018868
05/21/2012,179.245283018868
05/28/2012,179.245283018868
06/04/2012,179.245283018868
06/11/2012,179.245283018868
06/18/2012,179.245283018868
06/25/2012,179.245283018868
07/02/2012,179.245283018868
07/09/2012,179.245283018868
07/16/2012,179.245283018868
07/23/2012,179.245283018868
07/30/2012,179.245283018868
08/06/2012,179.245283018868
08/13/2012,179.245283018868
08/20/2012,179.245283018868
08/27/2012,179.245283018868
09/03/2012,179.245283018868
09/10/2012,179.245283018868
09/17/2012,179.245283018868
09/24/2012,179.245283018868
10/01/2012,179.245283018868
10/08/2012,179.245283018868
10/15/2012,179.245283018868
10/22/2012,179.245283018868
10/29/2012,179.245283018868
11/05/2012,179.245283018868
11/12/2012,179.245283018868
11/19/2012,179.245283018868
11/26/2012,179.245283018868
12/03/2012,179.245283018868
12/10/2012,179.245283018868
12/17/2012,179.245283018868
12/24/2012,179.245283018868
12/31/2012,179.245283018868
01/07/2013,230.769230769231
01/14/2013,230.769230769231
01/21/2013,230.769230769231
01/28/2013,230.769230769231
02/04/2013,230.769230769231
02/11/2013,230.769230769231
02/18/2013,230.769230769231
02/25/2013,230.769230769231
03/04/2013,230.769230769231
03/11/2013,230.769230769231
03/18/2013,230.769230769231
03/25/2013,230.769230769231
04/01/2013,230.769230769231
04/08/2013,230.769230769231
04/15/2013,230.769230769231
04/22/2013,230.769230769231
04/29/2013,230.769230769231
05/06/2013,230.769230769231
05/13/2013,230.769230769231
05/20/2013,230.769230769231
05/27/2013,230.769230769231
06/03/2013,230.769230769231
06/10/2013,230.769230769231
06/17/2013,230.769230769231
06/24/2013,230.769230769231
07/01/2013,230.769230769231
07/08/2013,230.769230769231
07/15/2013,230.769230769231
07/22/2013,230.769230769231
07/29/2013,230.769230769231
08/05/2013,230.769230769231
08/12/2013,230.769230769231
08/19/2013,230.769230769231
08/26/2013,230.769230769231
09/02/2013,230.769230769231
09/09/2013,230.769230769231
09/16/2013,230.769230769231
09/23/2013,230.769230769231
09/30/2013,230.769230769231
10/07/2013,230.769230769231
10/14/2013,230.769230769231
10/21/2013,230.769230769231
10/28/2013,230.769230769231
11/04/2013,230.769230769231
11/11/2013,230.769230769231
11/18/2013,230.769230769231
11/25/2013,230.769230769231
