,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
4/8/1985,0.04857873
4/15/1985,0.04857873
4/22/1985,0.04857873
4/29/1985,0.04857873
5/6/1985,0.04857873
5/13/1985,0.04857873
5/20/1985,0.04857873
5/27/1985,0.04857873
6/3/1985,0.04857873
6/10/1985,0.04857873
6/17/1985,0.04857873
6/24/1985,0.04857873
7/1/1985,0.04857873
7/8/1985,0.04857873
7/15/1985,0.04857873
7/22/1985,0.04857873
7/29/1985,0.04857873
8/5/1985,0.04857873
8/12/1985,0.04857873
8/19/1985,0.04857873
8/26/1985,0.04857873
9/2/1985,0.04857873
9/9/1985,0.04857873
9/16/1985,0.04857873
9/23/1985,0.04857873
9/30/1985,0.04857873
10/7/1985,0.04857873
10/14/1985,0.04857873
10/21/1985,0.04857873
10/28/1985,0.04857873
11/4/1985,0.04857873
11/11/1985,0.04857873
11/18/1985,0.04857873
11/25/1985,0.04857873
12/2/1985,0.04857873
12/9/1985,0.04857873
12/16/1985,0.04857873
12/23/1985,0.04857873
12/30/1985,0.04857873
1/6/1986,0.048806203
1/13/1986,0.048806203
1/20/1986,0.048806203
1/27/1986,0.048806203
2/3/1986,0.048806203
2/10/1986,0.048806203
2/17/1986,0.048806203
2/24/1986,0.048806203
3/3/1986,0.048806203
3/10/1986,0.048806203
3/17/1986,0.048806203
3/24/1986,0.048806203
3/31/1986,0.048806203
4/7/1986,0.048806203
4/14/1986,0.048806203
4/21/1986,0.048806203
4/28/1986,0.048806203
5/5/1986,0.048806203
5/12/1986,0.048806203
5/19/1986,0.048806203
5/26/1986,0.048806203
6/2/1986,0.048806203
6/9/1986,0.048806203
6/16/1986,0.048806203
6/23/1986,0.048806203
6/30/1986,0.048806203
7/7/1986,0.048806203
7/14/1986,0.048806203
7/21/1986,0.048806203
7/28/1986,0.048806203
8/4/1986,0.048806203
8/11/1986,0.048806203
8/18/1986,0.048806203
8/25/1986,0.048806203
9/1/1986,0.048806203
9/8/1986,0.048806203
9/15/1986,0.048806203
9/22/1986,0.048806203
9/29/1986,0.048806203
10/6/1986,0.048806203
10/13/1986,0.048806203
10/20/1986,0.048806203
10/27/1986,0.048806203
11/3/1986,0.048806203
11/10/1986,0.048806203
11/17/1986,0.048806203
11/24/1986,0.048806203
12/1/1986,0.048806203
12/8/1986,0.048806203
12/15/1986,0.048806203
12/22/1986,0.048806203
12/29/1986,0.048806203
1/5/1987,0.050066631
1/12/1987,0.050066631
1/19/1987,0.050066631
1/26/1987,0.050066631
2/2/1987,0.050066631
2/9/1987,0.050066631
2/16/1987,0.050066631
2/23/1987,0.050066631
3/2/1987,0.050066631
3/9/1987,0.050066631
3/16/1987,0.050066631
3/23/1987,0.050066631
3/30/1987,0.050066631
4/6/1987,0.050066631
4/13/1987,0.050066631
4/20/1987,0.050066631
4/27/1987,0.050066631
5/4/1987,0.050066631
5/11/1987,0.050066631
5/18/1987,0.050066631
5/25/1987,0.050066631
6/1/1987,0.050066631
6/8/1987,0.050066631
6/15/1987,0.050066631
6/22/1987,0.050066631
6/29/1987,0.050066631
7/6/1987,0.050066631
7/13/1987,0.050066631
7/20/1987,0.050066631
7/27/1987,0.050066631
8/3/1987,0.050066631
8/10/1987,0.050066631
8/17/1987,0.050066631
8/24/1987,0.050066631
8/31/1987,0.050066631
9/7/1987,0.050066631
9/14/1987,0.050066631
9/21/1987,0.050066631
9/28/1987,0.050066631
10/5/1987,0.050066631
10/12/1987,0.050066631
10/19/1987,0.050066631
10/26/1987,0.050066631
11/2/1987,0.050066631
11/9/1987,0.050066631
11/16/1987,0.050066631
11/23/1987,0.050066631
11/30/1987,0.050066631
12/7/1987,0.050066631
12/14/1987,0.050066631
12/21/1987,0.050066631
12/28/1987,0.050066631
1/4/1988,0.050559136
1/11/1988,0.050559136
1/18/1988,0.050559136
1/25/1988,0.050559136
2/1/1988,0.050559136
2/8/1988,0.050559136
2/15/1988,0.050559136
2/22/1988,0.050559136
2/29/1988,0.050559136
3/7/1988,0.050559136
3/14/1988,0.050559136
3/21/1988,0.050559136
3/28/1988,0.050559136
4/4/1988,0.050559136
4/11/1988,0.050559136
4/18/1988,0.050559136
4/25/1988,0.050559136
5/2/1988,0.050559136
5/9/1988,0.050559136
5/16/1988,0.050559136
5/23/1988,0.050559136
5/30/1988,0.050559136
6/6/1988,0.050559136
6/13/1988,0.050559136
6/20/1988,0.050559136
6/27/1988,0.050559136
7/4/1988,0.050559136
7/11/1988,0.050559136
7/18/1988,0.050559136
7/25/1988,0.050559136
8/1/1988,0.050559136
8/8/1988,0.050559136
8/15/1988,0.050559136
8/22/1988,0.050559136
8/29/1988,0.050559136
9/5/1988,0.050559136
9/12/1988,0.050559136
9/19/1988,0.050559136
9/26/1988,0.050559136
10/3/1988,0.050559136
10/10/1988,0.050559136
10/17/1988,0.050559136
10/24/1988,0.050559136
10/31/1988,0.050559136
11/7/1988,0.050559136
11/14/1988,0.050559136
11/21/1988,0.050559136
11/28/1988,0.050559136
12/5/1988,0.050559136
12/12/1988,0.050559136
12/19/1988,0.050559136
12/26/1988,0.050559136
1/2/1989,0.048105953
1/9/1989,0.048105953
1/16/1989,0.048105953
1/23/1989,0.048105953
1/30/1989,0.048105953
2/6/1989,0.048105953
2/13/1989,0.048105953
2/20/1989,0.048105953
2/27/1989,0.048105953
3/6/1989,0.048105953
3/13/1989,0.048105953
3/20/1989,0.048105953
3/27/1989,0.048105953
4/3/1989,0.048105953
4/10/1989,0.048105953
4/17/1989,0.048105953
4/24/1989,0.048105953
5/1/1989,0.048105953
5/8/1989,0.048105953
5/15/1989,0.048105953
5/22/1989,0.048105953
5/29/1989,0.048105953
6/5/1989,0.048105953
6/12/1989,0.048105953
6/19/1989,0.048105953
6/26/1989,0.048105953
7/3/1989,0.048105953
7/10/1989,0.048105953
7/17/1989,0.048105953
7/24/1989,0.048105953
7/31/1989,0.048105953
8/7/1989,0.048105953
8/14/1989,0.048105953
