,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
08/01/2016,12.45562795
08/08/2016,12.45562795
08/15/2016,12.45562795
08/22/2016,12.45562795
08/29/2016,12.45562795
09/05/2016,16.4704747775
09/12/2016,16.4704747775
09/19/2016,16.4704747775
09/26/2016,16.4704747775
10/03/2016,13.35120049
10/10/2016,13.35120049
10/17/2016,13.35120049
10/24/2016,13.35120049
10/31/2016,13.35120049
11/07/2016,17.1253211
11/14/2016,17.1253211
11/21/2016,17.1253211
11/28/2016,17.1253211
12/05/2016,17.73872695
12/12/2016,17.73872695
12/19/2016,17.73872695
12/26/2016,17.73872695
01/02/2017,12.789349194
01/09/2017,12.789349194
01/16/2017,12.789349194
01/23/2017,12.789349194
01/30/2017,12.789349194
02/06/2017,18.1527758975
02/13/2017,18.1527758975
02/20/2017,18.1527758975
02/27/2017,18.1527758975
03/06/2017,18.3348807575
03/13/2017,18.3348807575
03/20/2017,18.3348807575
03/27/2017,18.3348807575
04/03/2017,19.5294046775
04/10/2017,19.5294046775
04/17/2017,19.5294046775
04/24/2017,19.5294046775
05/01/2017,15.368960316
05/08/2017,15.368960316
05/15/2017,15.368960316
05/22/2017,15.368960316
05/29/2017,15.368960316
06/05/2017,18.9236664025
06/12/2017,18.9236664025
06/19/2017,18.9236664025
06/26/2017,18.9236664025
07/03/2017,14.139081588
07/10/2017,14.139081588
07/17/2017,14.139081588
07/24/2017,14.139081588
07/31/2017,14.139081588
08/07/2017,17.1409556525
08/14/2017,17.1409556525
08/21/2017,17.1409556525
08/28/2017,17.1409556525
09/04/2017,17.773530435
09/11/2017,17.773530435
09/18/2017,17.773530435
09/25/2017,17.773530435
10/02/2017,13.951992804
10/09/2017,13.951992804
10/16/2017,13.951992804
10/23/2017,13.951992804
10/30/2017,13.951992804
11/06/2017,18.6227141575
11/13/2017,18.6227141575
11/20/2017,18.6227141575
11/27/2017,18.6227141575
12/04/2017,21.0169138625
12/11/2017,21.0169138625
12/18/2017,21.0169138625
12/25/2017,21.0169138625
01/01/2018,16.805863516
01/08/2018,16.805863516
01/15/2018,16.805863516
01/22/2018,16.805863516
01/29/2018,16.805863516
02/05/2018,21.509555435
02/12/2018,21.509555435
02/19/2018,21.509555435
02/26/2018,21.509555435
03/05/2018,28.48896386
03/12/2018,28.48896386
03/19/2018,28.48896386
03/26/2018,28.48896386
04/02/2018,17.675366308
04/09/2018,17.675366308
04/16/2018,17.675366308
04/23/2018,17.675366308
04/30/2018,17.675366308
05/07/2018,21.9849449675
05/14/2018,21.9849449675
05/21/2018,21.9849449675
05/28/2018,21.9849449675
06/04/2018,26.4532231975
06/11/2018,26.4532231975
06/18/2018,26.4532231975
06/25/2018,26.4532231975
07/02/2018,20.316078488
07/09/2018,20.316078488
