,GDP: Goods & Services: Imports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495106047 (LAZAAABBAAABCQ)
SR Code,SR173549797
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Goods &amp; Services: Imports {375580007} [SPLICE(GDP: Goods &amp; Services: Imports {495106047}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,73549.58534077567
Variance,676548323.6174045
Standard Deviation,26010.542547540303
Skewness,0.6242244815369514
Kurtosis,-0.4801351062655477
Coefficient Variation,0.35364635200900496
Min,31635.44236825756
Max,128081.42179788715
Median,70048.32157048384
Sum,
Subtract,
10/24/2011,52281.3554334984
10/31/2011,52281.3554334984
11/07/2011,52281.3554334984
11/14/2011,52281.3554334984
11/21/2011,52281.3554334984
11/28/2011,52281.3554334984
12/05/2011,52281.3554334984
12/12/2011,52281.3554334984
12/19/2011,52281.3554334984
12/26/2011,52281.3554334984
01/02/2012,54582.746536754
01/09/2012,54582.746536754
01/16/2012,54582.746536754
01/23/2012,54582.746536754
01/30/2012,54582.746536754
02/06/2012,54582.746536754
02/13/2012,54582.746536754
02/20/2012,54582.746536754
02/27/2012,54582.746536754
03/05/2012,54582.746536754
03/12/2012,54582.746536754
03/19/2012,54582.746536754
03/26/2012,54582.746536754
04/02/2012,50509.761866745
04/09/2012,50509.761866745
04/16/2012,50509.761866745
04/23/2012,50509.761866745
04/30/2012,50509.761866745
05/07/2012,50509.761866745
05/14/2012,50509.761866745
05/21/2012,50509.761866745
05/28/2012,50509.761866745
06/04/2012,50509.761866745
06/11/2012,50509.761866745
06/18/2012,50509.761866745
06/25/2012,50509.761866745
07/02/2012,51076.1000477561
07/09/2012,51076.1000477561
07/16/2012,51076.1000477561
07/23/2012,51076.1000477561
07/30/2012,51076.1000477561
08/06/2012,51076.1000477561
08/13/2012,51076.1000477561
08/20/2012,51076.1000477561
08/27/2012,51076.1000477561
09/03/2012,51076.1000477561
09/10/2012,51076.1000477561
09/17/2012,51076.1000477561
09/24/2012,51076.1000477561
10/01/2012,52562.0143348597
10/08/2012,52562.0143348597
10/15/2012,52562.0143348597
10/22/2012,52562.0143348597
10/29/2012,52562.0143348597
11/05/2012,52562.0143348597
11/12/2012,52562.0143348597
11/19/2012,52562.0143348597
11/26/2012,52562.0143348597
12/03/2012,52562.0143348597
12/10/2012,52562.0143348597
12/17/2012,52562.0143348597
12/24/2012,52562.0143348597
12/31/2012,52562.0143348597
01/07/2013,56678.9822857631
01/14/2013,56678.9822857631
01/21/2013,56678.9822857631
01/28/2013,56678.9822857631
02/04/2013,56678.9822857631
02/11/2013,56678.9822857631
02/18/2013,56678.9822857631
02/25/2013,56678.9822857631
03/04/2013,56678.9822857631
03/11/2013,56678.9822857631
03/18/2013,56678.9822857631
03/25/2013,56678.9822857631
04/01/2013,53024.2828661223
04/08/2013,53024.2828661223
04/15/2013,53024.2828661223
04/22/2013,53024.2828661223
04/29/2013,53024.2828661223
05/06/2013,53024.2828661223
05/13/2013,53024.2828661223
05/20/2013,53024.2828661223
05/27/2013,53024.2828661223
06/03/2013,53024.2828661223
06/10/2013,53024.2828661223
06/17/2013,53024.2828661223
06/24/2013,53024.2828661223
07/01/2013,49563.0000463413
07/08/2013,49563.0000463413
07/15/2013,49563.0000463413
07/22/2013,49563.0000463413
07/29/2013,49563.0000463413
08/05/2013,49563.0000463413
08/12/2013,49563.0000463413
08/19/2013,49563.0000463413
08/26/2013,49563.0000463413
09/02/2013,49563.0000463413
09/09/2013,49563.0000463413
09/16/2013,49563.0000463413
09/23/2013,49563.0000463413
09/30/2013,49563.0000463413
10/07/2013,54797.3846666201
10/14/2013,54797.3846666201
10/21/2013,54797.3846666201
10/28/2013,54797.3846666201
11/04/2013,54797.3846666201
11/11/2013,54797.3846666201
11/18/2013,54797.3846666201
11/25/2013,54797.3846666201
12/02/2013,54797.3846666201
12/09/2013,54797.3846666201
12/16/2013,54797.3846666201
12/23/2013,54797.3846666201
12/30/2013,54797.3846666201
01/06/2014,57052.8608225751
01/13/2014,57052.8608225751
01/20/2014,57052.8608225751
01/27/2014,57052.8608225751
02/03/2014,57052.8608225751
02/10/2014,57052.8608225751
02/17/2014,57052.8608225751
02/24/2014,57052.8608225751
03/03/2014,57052.8608225751
03/10/2014,57052.8608225751
03/17/2014,57052.8608225751
03/24/2014,57052.8608225751
03/31/2014,57052.8608225751
04/07/2014,51930.3965100933
04/14/2014,51930.3965100933
04/21/2014,51930.3965100933
04/28/2014,51930.3965100933
05/05/2014,51930.3965100933
05/12/2014,51930.3965100933
05/19/2014,51930.3965100933
05/26/2014,51930.3965100933
06/02/2014,51930.3965100933
06/09/2014,51930.3965100933
06/16/2014,51930.3965100933
06/23/2014,51930.3965100933
06/30/2014,51930.3965100933
07/07/2014,61357.772595831
07/14/2014,61357.772595831
07/21/2014,61357.772595831
07/28/2014,61357.772595831
08/04/2014,61357.772595831
08/11/2014,61357.772595831
08/18/2014,61357.772595831
08/25/2014,61357.772595831
09/01/2014,61357.772595831
09/08/2014,61357.772595831
09/15/2014,61357.772595831
09/22/2014,61357.772595831
09/29/2014,61357.772595831
10/06/2014,62084.4587503566
10/13/2014,62084.4587503566
10/20/2014,62084.4587503566
10/27/2014,62084.4587503566
11/03/2014,62084.4587503566
11/10/2014,62084.4587503566
11/17/2014,62084.4587503566
11/24/2014,62084.4587503566
12/01/2014,62084.4587503566
12/08/2014,62084.4587503566
12/15/2014,62084.4587503566
12/22/2014,62084.4587503566
12/29/2014,62084.4587503566
01/05/2015,59073.71820908
01/12/2015,59073.71820908
01/19/2015,59073.71820908
01/26/2015,59073.71820908
02/02/2015,59073.71820908
02/09/2015,59073.71820908
02/16/2015,59073.71820908
02/23/2015,59073.71820908
03/02/2015,59073.71820908
03/09/2015,59073.71820908
03/16/2015,59073.71820908
03/23/2015,59073.71820908
03/30/2015,59073.71820908
04/06/2015,59347.1110772015
04/13/2015,59347.1110772015
04/20/2015,59347.1110772015
04/27/2015,59347.1110772015
05/04/2015,59347.1110772015
05/11/2015,59347.1110772015
05/18/2015,59347.1110772015
05/25/2015,59347.1110772015
06/01/2015,59347.1110772015
06/08/2015,59347.1110772015
06/15/2015,59347.1110772015
06/22/2015,59347.1110772015
06/29/2015,59347.1110772015
07/06/2015,58549.7331935931
07/13/2015,58549.7331935931
07/20/2015,58549.7331935931
07/27/2015,58549.7331935931
08/03/2015,58549.7331935931
08/10/2015,58549.7331935931
08/17/2015,58549.7331935931
08/24/2015,58549.7331935931
08/31/2015,58549.7331935931
09/07/2015,58549.7331935931
09/14/2015,58549.7331935931
09/21/2015,58549.7331935931
09/28/2015,58549.7331935931
10/05/2015,63485.6347144162
10/12/2015,63485.6347144162
10/19/2015,63485.6347144162
10/26/2015,63485.6347144162
11/02/2015,63485.6347144162
11/09/2015,63485.6347144162
11/16/2015,63485.6347144162
11/23/2015,63485.6347144162
11/30/2015,63485.6347144162
12/07/2015,63485.6347144162
12/14/2015,63485.6347144162
12/21/2015,63485.6347144162
12/28/2015,63485.6347144162
01/04/2016,62893.0986303854
01/11/2016,62893.0986303854
01/18/2016,62893.0986303854
01/25/2016,62893.0986303854
02/01/2016,62893.0986303854
02/08/2016,62893.0986303854
02/15/2016,62893.0986303854
02/22/2016,62893.0986303854
02/29/2016,62893.0986303854
03/07/2016,62893.0986303854
03/14/2016,62893.0986303854
03/21/2016,62893.0986303854
03/28/2016,62893.0986303854
04/04/2016,64905.9441786608
04/11/2016,64905.9441786608
04/18/2016,64905.9441786608
04/25/2016,64905.9441786608
05/02/2016,64905.9441786608
05/09/2016,64905.9441786608
05/16/2016,64905.9441786608
05/23/2016,64905.9441786608
05/30/2016,64905.9441786608
06/06/2016,64905.9441786608
06/13/2016,64905.9441786608
06/20/2016,64905.9441786608
06/27/2016,64905.9441786608
07/04/2016,62858.1779921892
07/11/2016,62858.1779921892
07/18/2016,62858.1779921892
07/25/2016,62858.1779921892
08/01/2016,62858.1779921892
08/08/2016,62858.1779921892
08/15/2016,62858.1779921892
08/22/2016,62858.1779921892
08/29/2016,62858.1779921892
09/05/2016,62858.1779921892
09/12/2016,62858.1779921892
09/19/2016,62858.1779921892
09/26/2016,62858.1779921892
10/03/2016,71984.1311282639
10/10/2016,71984.1311282639
10/17/2016,71984.1311282639
10/24/2016,71984.1311282639
10/31/2016,71984.1311282639
11/07/2016,71984.1311282639
11/14/2016,71984.1311282639
11/21/2016,71984.1311282639
11/28/2016,71984.1311282639
12/05/2016,71984.1311282639
12/12/2016,71984.1311282639
12/19/2016,71984.1311282639
12/26/2016,71984.1311282639
01/02/2017,74364.8672911746
01/09/2017,74364.8672911746
01/16/2017,74364.8672911746
01/23/2017,74364.8672911746
01/30/2017,74364.8672911746
02/06/2017,74364.8672911746
02/13/2017,74364.8672911746
02/20/2017,74364.8672911746
02/27/2017,74364.8672911746
03/06/2017,74364.8672911746
03/13/2017,74364.8672911746
03/20/2017,74364.8672911746
03/27/2017,74364.8672911746
04/03/2017,70048.3215704838
04/10/2017,70048.3215704838
04/17/2017,70048.3215704838
04/24/2017,70048.3215704838
05/01/2017,70048.3215704838
05/08/2017,70048.3215704838
05/15/2017,70048.3215704838
05/22/2017,70048.3215704838
05/29/2017,70048.3215704838
06/05/2017,70048.3215704838
06/12/2017,70048.3215704838
06/19/2017,70048.3215704838
06/26/2017,70048.3215704838
07/03/2017,73093.7353675054
07/10/2017,73093.7353675054
07/17/2017,73093.7353675054
07/24/2017,73093.7353675054
07/31/2017,73093.7353675054
08/07/2017,73093.7353675054
08/14/2017,73093.7353675054
08/21/2017,73093.7353675054
08/28/2017,73093.7353675054
09/04/2017,73093.7353675054
09/11/2017,73093.7353675054
09/18/2017,73093.7353675054
09/25/2017,73093.7353675054
10/02/2017,80379.3039814354
10/09/2017,80379.3039814354
10/16/2017,80379.3039814354
10/23/2017,80379.3039814354
10/30/2017,80379.3039814354
11/06/2017,80379.3039814354
11/13/2017,80379.3039814354
11/20/2017,80379.3039814354
11/27/2017,80379.3039814354
