,Adjusted Savings: Carbon Dioxide Damage
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,World Bank
Status,Active
Series ID,268441702
SR Code,SR5444103
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,19/12/2023
Series remarks,"Cost of damage due to carbon dioxide emissions from fossil fuel use and the manufacture of cement, estimated to be US$40 per ton of CO2 (the unit damage in 2017 US dollars for CO2 emitted in 2020) times the number of tons of CO2 emitted.;World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.;;"
Suggestions,
Mean,7.512237900125779
Variance,34.175314854342695
Standard Deviation,5.845965690486277
Skewness,0.8770491442692123
Kurtosis,-0.40411583817369534
Coefficient Variation,0.7781923001118477
Min,0.8779543418867924
Max,21.227391911153845
Median,6.255040609615384
Sum,
Subtract,
11/08/1993,1.37254037730769
11/15/1993,1.37254037730769
11/22/1993,1.37254037730769
11/29/1993,1.37254037730769
12/06/1993,1.37254037730769
12/13/1993,1.37254037730769
12/20/1993,1.37254037730769
12/27/1993,1.37254037730769
01/03/1994,1.62488590615385
01/10/1994,1.62488590615385
01/17/1994,1.62488590615385
01/24/1994,1.62488590615385
01/31/1994,1.62488590615385
02/07/1994,1.62488590615385
02/14/1994,1.62488590615385
02/21/1994,1.62488590615385
02/28/1994,1.62488590615385
03/07/1994,1.62488590615385
03/14/1994,1.62488590615385
03/21/1994,1.62488590615385
03/28/1994,1.62488590615385
04/04/1994,1.62488590615385
04/11/1994,1.62488590615385
04/18/1994,1.62488590615385
04/25/1994,1.62488590615385
05/02/1994,1.62488590615385
05/09/1994,1.62488590615385
05/16/1994,1.62488590615385
05/23/1994,1.62488590615385
05/30/1994,1.62488590615385
06/06/1994,1.62488590615385
06/13/1994,1.62488590615385
06/20/1994,1.62488590615385
06/27/1994,1.62488590615385
07/04/1994,1.62488590615385
07/11/1994,1.62488590615385
07/18/1994,1.62488590615385
07/25/1994,1.62488590615385
08/01/1994,1.62488590615385
08/08/1994,1.62488590615385
08/15/1994,1.62488590615385
08/22/1994,1.62488590615385
08/29/1994,1.62488590615385
09/05/1994,1.62488590615385
09/12/1994,1.62488590615385
09/19/1994,1.62488590615385
09/26/1994,1.62488590615385
10/03/1994,1.62488590615385
10/10/1994,1.62488590615385
10/17/1994,1.62488590615385
10/24/1994,1.62488590615385
10/31/1994,1.62488590615385
11/07/1994,1.62488590615385
11/14/1994,1.62488590615385
11/21/1994,1.62488590615385
11/28/1994,1.62488590615385
12/05/1994,1.62488590615385
12/12/1994,1.62488590615385
12/19/1994,1.62488590615385
12/26/1994,1.62488590615385
01/02/1995,1.71098388326923
01/09/1995,1.71098388326923
01/16/1995,1.71098388326923
01/23/1995,1.71098388326923
01/30/1995,1.71098388326923
02/06/1995,1.71098388326923
02/13/1995,1.71098388326923
02/20/1995,1.71098388326923
02/27/1995,1.71098388326923
03/06/1995,1.71098388326923
03/13/1995,1.71098388326923
03/20/1995,1.71098388326923
03/27/1995,1.71098388326923
04/03/1995,1.71098388326923
04/10/1995,1.71098388326923
04/17/1995,1.71098388326923
04/24/1995,1.71098388326923
05/01/1995,1.71098388326923
05/08/1995,1.71098388326923
05/15/1995,1.71098388326923
05/22/1995,1.71098388326923
05/29/1995,1.71098388326923
06/05/1995,1.71098388326923
06/12/1995,1.71098388326923
06/19/1995,1.71098388326923
06/26/1995,1.71098388326923
07/03/1995,1.71098388326923
07/10/1995,1.71098388326923
07/17/1995,1.71098388326923
07/24/1995,1.71098388326923
07/31/1995,1.71098388326923
08/07/1995,1.71098388326923
08/14/1995,1.71098388326923
08/21/1995,1.71098388326923
08/28/1995,1.71098388326923
09/04/1995,1.71098388326923
09/11/1995,1.71098388326923
09/18/1995,1.71098388326923
09/25/1995,1.71098388326923
10/02/1995,1.71098388326923
10/09/1995,1.71098388326923
10/16/1995,1.71098388326923
10/23/1995,1.71098388326923
10/30/1995,1.71098388326923
11/06/1995,1.71098388326923
11/13/1995,1.71098388326923
11/20/1995,1.71098388326923
11/27/1995,1.71098388326923
12/04/1995,1.71098388326923
12/11/1995,1.71098388326923
12/18/1995,1.71098388326923
12/25/1995,1.71098388326923
01/01/1996,2.51072920188679
01/08/1996,2.51072920188679
01/15/1996,2.51072920188679
01/22/1996,2.51072920188679
01/29/1996,2.51072920188679
02/05/1996,2.51072920188679
02/12/1996,2.51072920188679
02/19/1996,2.51072920188679
02/26/1996,2.51072920188679
03/04/1996,2.51072920188679
03/11/1996,2.51072920188679
03/18/1996,2.51072920188679
03/25/1996,2.51072920188679
04/01/1996,2.51072920188679
04/08/1996,2.51072920188679
04/15/1996,2.51072920188679
04/22/1996,2.51072920188679
04/29/1996,2.51072920188679
05/06/1996,2.51072920188679
05/13/1996,2.51072920188679
05/20/1996,2.51072920188679
05/27/1996,2.51072920188679
06/03/1996,2.51072920188679
06/10/1996,2.51072920188679
06/17/1996,2.51072920188679
06/24/1996,2.51072920188679
07/01/1996,2.51072920188679
07/08/1996,2.51072920188679
07/15/1996,2.51072920188679
07/22/1996,2.51072920188679
07/29/1996,2.51072920188679
08/05/1996,2.51072920188679
08/12/1996,2.51072920188679
08/19/1996,2.51072920188679
08/26/1996,2.51072920188679
09/02/1996,2.51072920188679
09/09/1996,2.51072920188679
09/16/1996,2.51072920188679
09/23/1996,2.51072920188679
09/30/1996,2.51072920188679
10/07/1996,2.51072920188679
10/14/1996,2.51072920188679
10/21/1996,2.51072920188679
10/28/1996,2.51072920188679
11/04/1996,2.51072920188679
11/11/1996,2.51072920188679
11/18/1996,2.51072920188679
11/25/1996,2.51072920188679
12/02/1996,2.51072920188679
12/09/1996,2.51072920188679
12/16/1996,2.51072920188679
12/23/1996,2.51072920188679
12/30/1996,2.51072920188679
01/06/1997,2.65534380634615
01/13/1997,2.65534380634615
01/20/1997,2.65534380634615
01/27/1997,2.65534380634615
02/03/1997,2.65534380634615
02/10/1997,2.65534380634615
02/17/1997,2.65534380634615
02/24/1997,2.65534380634615
03/03/1997,2.65534380634615
03/10/1997,2.65534380634615
03/17/1997,2.65534380634615
03/24/1997,2.65534380634615
03/31/1997,2.65534380634615
04/07/1997,2.65534380634615
04/14/1997,2.65534380634615
04/21/1997,2.65534380634615
04/28/1997,2.65534380634615
05/05/1997,2.65534380634615
05/12/1997,2.65534380634615
05/19/1997,2.65534380634615
05/26/1997,2.65534380634615
06/02/1997,2.65534380634615
06/09/1997,2.65534380634615
06/16/1997,2.65534380634615
06/23/1997,2.65534380634615
06/30/1997,2.65534380634615
07/07/1997,2.65534380634615
07/14/1997,2.65534380634615
07/21/1997,2.65534380634615
07/28/1997,2.65534380634615
08/04/1997,2.65534380634615
08/11/1997,2.65534380634615
08/18/1997,2.65534380634615
08/25/1997,2.65534380634615
09/01/1997,2.65534380634615
09/08/1997,2.65534380634615
09/15/1997,2.65534380634615
09/22/1997,2.65534380634615
09/29/1997,2.65534380634615
10/06/1997,2.65534380634615
10/13/1997,2.65534380634615
10/20/1997,2.65534380634615
10/27/1997,2.65534380634615
11/03/1997,2.65534380634615
11/10/1997,2.65534380634615
11/17/1997,2.65534380634615
11/24/1997,2.65534380634615
12/01/1997,2.65534380634615
12/08/1997,2.65534380634615
12/15/1997,2.65534380634615
12/22/1997,2.65534380634615
12/29/1997,2.65534380634615
01/05/1998,2.83453616153846
01/12/1998,2.83453616153846
01/19/1998,2.83453616153846
01/26/1998,2.83453616153846
02/02/1998,2.83453616153846
02/09/1998,2.83453616153846
02/16/1998,2.83453616153846
02/23/1998,2.83453616153846
03/02/1998,2.83453616153846
03/09/1998,2.83453616153846
03/16/1998,2.83453616153846
03/23/1998,2.83453616153846
03/30/1998,2.83453616153846
04/06/1998,2.83453616153846
04/13/1998,2.83453616153846
04/20/1998,2.83453616153846
04/27/1998,2.83453616153846
05/04/1998,2.83453616153846
05/11/1998,2.83453616153846
05/18/1998,2.83453616153846
05/25/1998,2.83453616153846
06/01/1998,2.83453616153846
06/08/1998,2.83453616153846
06/15/1998,2.83453616153846
06/22/1998,2.83453616153846
06/29/1998,2.83453616153846
07/06/1998,2.83453616153846
07/13/1998,2.83453616153846
07/20/1998,2.83453616153846
07/27/1998,2.83453616153846
08/03/1998,2.83453616153846
08/10/1998,2.83453616153846
