,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
05/26/2014,200820.149566533
06/02/2014,200820.149566533
06/09/2014,200820.149566533
06/16/2014,200820.149566533
06/23/2014,200820.149566533
06/30/2014,200820.149566533
07/07/2014,210595.636413993
07/14/2014,210595.636413993
07/21/2014,210595.636413993
07/28/2014,210595.636413993
08/04/2014,210595.636413993
08/11/2014,210595.636413993
08/18/2014,210595.636413993
08/25/2014,210595.636413993
09/01/2014,210595.636413993
09/08/2014,210595.636413993
09/15/2014,210595.636413993
09/22/2014,210595.636413993
09/29/2014,210595.636413993
10/06/2014,221644.445622086
10/13/2014,221644.445622086
10/20/2014,221644.445622086
10/27/2014,221644.445622086
11/03/2014,221644.445622086
11/10/2014,221644.445622086
11/17/2014,221644.445622086
11/24/2014,221644.445622086
12/01/2014,221644.445622086
12/08/2014,221644.445622086
12/15/2014,221644.445622086
12/22/2014,221644.445622086
12/29/2014,221644.445622086
01/05/2015,213020
01/12/2015,213020
01/19/2015,213020
01/26/2015,213020
02/02/2015,213020
02/09/2015,213020
02/16/2015,213020
02/23/2015,213020
03/02/2015,213020
03/09/2015,213020
03/16/2015,213020
03/23/2015,213020
03/30/2015,213020
04/06/2015,205199.076923077
04/13/2015,205199.076923077
04/20/2015,205199.076923077
04/27/2015,205199.076923077
05/04/2015,205199.076923077
05/11/2015,205199.076923077
05/18/2015,205199.076923077
05/25/2015,205199.076923077
06/01/2015,205199.076923077
06/08/2015,205199.076923077
06/15/2015,205199.076923077
06/22/2015,205199.076923077
06/29/2015,205199.076923077
07/06/2015,221434.615384615
07/13/2015,221434.615384615
07/20/2015,221434.615384615
07/27/2015,221434.615384615
08/03/2015,221434.615384615
08/10/2015,221434.615384615
08/17/2015,221434.615384615
08/24/2015,221434.615384615
08/31/2015,221434.615384615
09/07/2015,221434.615384615
09/14/2015,221434.615384615
09/21/2015,221434.615384615
09/28/2015,221434.615384615
10/05/2015,228976.153846154
10/12/2015,228976.153846154
10/19/2015,228976.153846154
10/26/2015,228976.153846154
11/02/2015,228976.153846154
11/09/2015,228976.153846154
11/16/2015,228976.153846154
11/23/2015,228976.153846154
11/30/2015,228976.153846154
12/07/2015,228976.153846154
12/14/2015,228976.153846154
12/21/2015,228976.153846154
12/28/2015,228976.153846154
01/04/2016,239664.153846154
01/11/2016,239664.153846154
01/18/2016,239664.153846154
01/25/2016,239664.153846154
02/01/2016,239664.153846154
02/08/2016,239664.153846154
02/15/2016,239664.153846154
02/22/2016,239664.153846154
02/29/2016,239664.153846154
03/07/2016,239664.153846154
03/14/2016,239664.153846154
03/21/2016,239664.153846154
03/28/2016,239664.153846154
04/04/2016,225812.538461538
04/11/2016,225812.538461538
04/18/2016,225812.538461538
04/25/2016,225812.538461538
05/02/2016,225812.538461538
05/09/2016,225812.538461538
05/16/2016,225812.538461538
05/23/2016,225812.538461538
05/30/2016,225812.538461538
06/06/2016,225812.538461538
06/13/2016,225812.538461538
06/20/2016,225812.538461538
06/27/2016,225812.538461538
07/04/2016,242505.769230769
07/11/2016,242505.769230769
07/18/2016,242505.769230769
07/25/2016,242505.769230769
