,Government Debt
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,375564947 (LFSDACIAAAAABA)
SR Code,SR97857427
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,1165085.9766679662
Variance,312538631119.7575
Standard Deviation,559051.546031095
Skewness,0.775298416438752
Kurtosis,-0.90970761776682
Coefficient Variation,0.47983715985487063
Min,552427.4936776669
Max,2207380.6582953846
Median,973577.3092613154
Sum,
Subtract,
10/11/2021,1354937.01403816
10/18/2021,1354937.01403816
10/25/2021,1354937.01403816
11/01/2021,1354937.01403816
11/08/2021,1354937.01403816
11/15/2021,1354937.01403816
11/22/2021,1354937.01403816
11/29/2021,1354937.01403816
12/06/2021,1354937.01403816
12/13/2021,1354937.01403816
12/20/2021,1354937.01403816
12/27/2021,1354937.01403816
01/03/2022,1668972.61428996
01/10/2022,1668972.61428996
01/17/2022,1668972.61428996
01/24/2022,1668972.61428996
01/31/2022,1668972.61428996
02/07/2022,1668972.61428996
02/14/2022,1668972.61428996
02/21/2022,1668972.61428996
02/28/2022,1668972.61428996
03/07/2022,1668972.61428996
03/14/2022,1668972.61428996
03/21/2022,1668972.61428996
03/28/2022,1668972.61428996
04/04/2022,1866492.26104432
04/11/2022,1866492.26104432
04/18/2022,1866492.26104432
04/25/2022,1866492.26104432
05/02/2022,1866492.26104432
05/09/2022,1866492.26104432
05/16/2022,1866492.26104432
05/23/2022,1866492.26104432
05/30/2022,1866492.26104432
06/06/2022,1866492.26104432
06/13/2022,1866492.26104432
06/20/2022,1866492.26104432
06/27/2022,1866492.26104432
07/04/2022,1918915.74606744
07/11/2022,1918915.74606744
07/18/2022,1918915.74606744
07/25/2022,1918915.74606744
08/01/2022,1918915.74606744
08/08/2022,1918915.74606744
08/15/2022,1918915.74606744
08/22/2022,1918915.74606744
08/29/2022,1918915.74606744
09/05/2022,1918915.74606744
09/12/2022,1918915.74606744
09/19/2022,1918915.74606744
09/26/2022,1918915.74606744
10/03/2022,2114771.60367122
10/10/2022,2114771.60367122
10/17/2022,2114771.60367122
10/24/2022,2114771.60367122
10/31/2022,2114771.60367122
11/07/2022,2114771.60367122
11/14/2022,2114771.60367122
11/21/2022,2114771.60367122
11/28/2022,2114771.60367122
12/05/2022,2114771.60367122
12/12/2022,2114771.60367122
12/19/2022,2114771.60367122
12/26/2022,2114771.60367122
01/02/2023,2080752.83855693
01/09/2023,2080752.83855693
01/16/2023,2080752.83855693
01/23/2023,2080752.83855693
01/30/2023,2080752.83855693
02/06/2023,2080752.83855693
02/13/2023,2080752.83855693
02/20/2023,2080752.83855693
02/27/2023,2080752.83855693
03/06/2023,2080752.83855693
03/13/2023,2080752.83855693
03/20/2023,2080752.83855693
03/27/2023,2080752.83855693
04/03/2023,2070478.96414584
04/10/2023,2070478.96414584
04/17/2023,2070478.96414584
04/24/2023,2070478.96414584
05/01/2023,2070478.96414584
05/08/2023,2070478.96414584
05/15/2023,2070478.96414584
