,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
10/14/1996,0.36893043207547
10/21/1996,0.36893043207547
10/28/1996,0.36893043207547
11/04/1996,0.36893043207547
11/11/1996,0.36893043207547
11/18/1996,0.36893043207547
11/25/1996,0.36893043207547
12/02/1996,0.36893043207547
12/09/1996,0.36893043207547
12/16/1996,0.36893043207547
12/23/1996,0.36893043207547
12/30/1996,0.36893043207547
01/06/1997,0.36081981769231
01/13/1997,0.36081981769231
01/20/1997,0.36081981769231
01/27/1997,0.36081981769231
02/03/1997,0.36081981769231
02/10/1997,0.36081981769231
02/17/1997,0.36081981769231
02/24/1997,0.36081981769231
03/03/1997,0.36081981769231
03/10/1997,0.36081981769231
03/17/1997,0.36081981769231
03/24/1997,0.36081981769231
03/31/1997,0.36081981769231
04/07/1997,0.36081981769231
04/14/1997,0.36081981769231
04/21/1997,0.36081981769231
04/28/1997,0.36081981769231
05/05/1997,0.36081981769231
05/12/1997,0.36081981769231
05/19/1997,0.36081981769231
05/26/1997,0.36081981769231
06/02/1997,0.36081981769231
06/09/1997,0.36081981769231
06/16/1997,0.36081981769231
06/23/1997,0.36081981769231
06/30/1997,0.36081981769231
07/07/1997,0.36081981769231
07/14/1997,0.36081981769231
07/21/1997,0.36081981769231
07/28/1997,0.36081981769231
08/04/1997,0.36081981769231
08/11/1997,0.36081981769231
