,Number of Vessels Arrivals: Port of Colombo
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31012201 (LTFAA)
SR Code,SR543627
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,12/07/1998
Last Obs. Date,11/25/2024
Last Update Time,30/12/2024
Series remarks,
Suggestions,
Mean,83.35103244837761
Variance,138.34472956056982
Standard Deviation,11.762003637160202
Skewness,0.14871153311344112
Kurtosis,-0.8056000246702539
Coefficient Variation,0.1411140725154766
Min,60.8
Max,110.25
Median,84.25
Sum,
Subtract,
04/28/2008,100.5
05/05/2008,105
05/12/2008,105
05/19/2008,105
05/26/2008,105
06/02/2008,78.8
06/09/2008,78.8
06/16/2008,78.8
06/23/2008,78.8
06/30/2008,78.8
07/07/2008,100.25
07/14/2008,100.25
07/21/2008,100.25
07/28/2008,100.25
08/04/2008,100.75
08/11/2008,100.75
08/18/2008,100.75
08/25/2008,100.75
09/01/2008,80
09/08/2008,80
09/15/2008,80
09/22/2008,80
09/29/2008,80
10/06/2008,102
10/13/2008,102
10/20/2008,102
10/27/2008,102
11/03/2008,100.25
11/10/2008,100.25
11/17/2008,100.25
11/24/2008,100.25
12/01/2008,79.6
12/08/2008,79.6
12/15/2008,79.6
12/22/2008,79.6
12/29/2008,79.6
01/05/2009,97.5
01/12/2009,97.5
01/19/2009,97.5
01/26/2009,97.5
02/02/2009,76.5
02/09/2009,76.5
02/16/2009,76.5
02/23/2009,76.5
03/02/2009,80.2
03/09/2009,80.2
03/16/2009,80.2
03/23/2009,80.2
03/30/2009,80.2
04/06/2009,89.75
04/13/2009,89.75
04/20/2009,89.75
04/27/2009,89.75
05/04/2009,100.75
05/11/2009,100.75
05/18/2009,100.75
05/25/2009,100.75
06/01/2009,75.2
06/08/2009,75.2
06/15/2009,75.2
06/22/2009,75.2
06/29/2009,75.2
07/06/2009,98.25
07/13/2009,98.25
07/20/2009,98.25
07/27/2009,98.25
08/03/2009,80.2
08/10/2009,80.2
08/17/2009,80.2
08/24/2009,80.2
08/31/2009,80.2
09/07/2009,91.5
09/14/2009,91.5
09/21/2009,91.5
09/28/2009,91.5
10/05/2009,95.5
10/12/2009,95.5
10/19/2009,95.5
10/26/2009,95.5
11/02/2009,67.4
11/09/2009,67.4
11/16/2009,67.4
11/23/2009,67.4
11/30/2009,67.4
12/07/2009,86.25
12/14/2009,86.25
12/21/2009,86.25
12/28/2009,86.25
01/04/2010,90.75
01/11/2010,90.75
01/18/2010,90.75
01/25/2010,90.75
02/01/2010,74.75
02/08/2010,74.75
02/15/2010,74.75
02/22/2010,74.75
03/01/2010,69.6
03/08/2010,69.6
03/15/2010,69.6
03/22/2010,69.6
03/29/2010,69.6
04/05/2010,83.75
04/12/2010,83.75
04/19/2010,83.75
04/26/2010,83.75
05/03/2010,68.2
05/10/2010,68.2
05/17/2010,68.2
05/24/2010,68.2
05/31/2010,68.2
06/07/2010,78.75
06/14/2010,78.75
06/21/2010,78.75
06/28/2010,78.75
07/05/2010,87.25
07/12/2010,87.25
07/19/2010,87.25
07/26/2010,87.25
08/02/2010,66
08/09/2010,66
08/16/2010,66
08/23/2010,66
08/30/2010,66
09/06/2010,86
09/13/2010,86
09/20/2010,86
09/27/2010,86
10/04/2010,88.5
10/11/2010,88.5
10/18/2010,88.5
10/25/2010,88.5
11/01/2010,70.8
11/08/2010,70.8
11/15/2010,70.8
11/22/2010,70.8
11/29/2010,70.8
12/06/2010,83.75
12/13/2010,83.75
12/20/2010,83.75
12/27/2010,83.75
01/03/2011,71
01/10/2011,71
01/17/2011,71
01/24/2011,71
01/31/2011,71
02/07/2011,80.5
02/14/2011,80.5
02/21/2011,80.5
02/28/2011,80.5
03/07/2011,94.5
03/14/2011,94.5
03/21/2011,94.5
03/28/2011,94.5
04/04/2011,94.5
04/11/2011,94.5
04/18/2011,94.5
04/25/2011,94.5
05/02/2011,72.2
05/09/2011,72.2
05/16/2011,72.2
05/23/2011,72.2
05/30/2011,72.2
06/06/2011,88.5
06/13/2011,88.5
06/20/2011,88.5
06/27/2011,88.5
07/04/2011,90
07/11/2011,90
07/18/2011,90
07/25/2011,90
08/01/2011,77.6
08/08/2011,77.6
08/15/2011,77.6
08/22/2011,77.6
08/29/2011,77.6
09/05/2011,90
09/12/2011,90
09/19/2011,90
09/26/2011,90
10/03/2011,73.2
10/10/2011,73.2
10/17/2011,73.2
10/24/2011,73.2
10/31/2011,73.2
11/07/2011,84.25
11/14/2011,84.25
11/21/2011,84.25
11/28/2011,84.25
12/05/2011,92.25
12/12/2011,92.25
12/19/2011,92.25
12/26/2011,92.25
01/02/2012,70.2
01/09/2012,70.2
01/16/2012,70.2
01/23/2012,70.2
01/30/2012,70.2
02/06/2012,82.25
02/13/2012,82.25
02/20/2012,82.25
02/27/2012,82.25
03/05/2012,91.75
03/12/2012,91.75
03/19/2012,91.75
03/26/2012,91.75
04/02/2012,65.4
04/09/2012,65.4
04/16/2012,65.4
04/23/2012,65.4
04/30/2012,65.4
05/07/2012,85.5
05/14/2012,85.5
05/21/2012,85.5
05/28/2012,85.5
06/04/2012,89.75
06/11/2012,89.75
06/18/2012,89.75
06/25/2012,89.75
07/02/2012,73.4
07/09/2012,73.4
07/16/2012,73.4
07/23/2012,73.4
07/30/2012,73.4
08/06/2012,87.5
08/13/2012,87.5
08/20/2012,87.5
08/27/2012,87.5
09/03/2012,83.75
09/10/2012,83.75
09/17/2012,83.75
09/24/2012,83.75
10/01/2012,68.6
10/08/2012,68.6
10/15/2012,68.6
10/22/2012,68.6
10/29/2012,68.6
11/05/2012,81.25
11/12/2012,81.25
11/19/2012,81.25
11/26/2012,81.25
12/03/2012,67.8
12/10/2012,67.8
12/17/2012,67.8
12/24/2012,67.8
12/31/2012,67.8
01/07/2013,81.75
01/14/2013,81.75
01/21/2013,81.75
01/28/2013,81.75
02/04/2013,75.5
02/11/2013,75.5
02/18/2013,75.5
02/25/2013,75.5
03/04/2013,85.5
03/11/2013,85.5
03/18/2013,85.5
03/25/2013,85.5
04/01/2013,64.6
04/08/2013,64.6
04/15/2013,64.6
04/22/2013,64.6
04/29/2013,64.6
05/06/2013,82.75
05/13/2013,82.75
05/20/2013,82.75
05/27/2013,82.75
06/03/2013,82.5
06/10/2013,82.5
06/17/2013,82.5
06/24/2013,82.5
07/01/2013,68.6
07/08/2013,68.6
07/15/2013,68.6
07/22/2013,68.6
07/29/2013,68.6
08/05/2013,84.75
08/12/2013,84.75
08/19/2013,84.75
08/26/2013,84.75
09/02/2013,66.4
09/09/2013,66.4
09/16/2013,66.4
09/23/2013,66.4
09/30/2013,66.4
10/07/2013,86.75
10/14/2013,86.75
10/21/2013,86.75
10/28/2013,86.75
11/04/2013,85
11/11/2013,85
11/18/2013,85
11/25/2013,85
12/02/2013,64
12/09/2013,64
12/16/2013,64
12/23/2013,64
12/30/2013,64
01/06/2014,81.5
01/13/2014,81.5
01/20/2014,81.5
01/27/2014,81.5
02/03/2014,76
02/10/2014,76
02/17/2014,76
02/24/2014,76
03/03/2014,73
03/10/2014,73
03/17/2014,73
03/24/2014,73
03/31/2014,73
04/07/2014,89
04/14/2014,89
04/21/2014,89
04/28/2014,89
05/05/2014,89
05/12/2014,89
05/19/2014,89
05/26/2014,89
06/02/2014,67.6
06/09/2014,67.6
06/16/2014,67.6
06/23/2014,67.6
06/30/2014,67.6
07/07/2014,92.5
07/14/2014,92.5
07/21/2014,92.5
07/28/2014,92.5
08/04/2014,93
08/11/2014,93
08/18/2014,93
08/25/2014,93
09/01/2014,73.8
09/08/2014,73.8
09/15/2014,73.8
09/22/2014,73.8
09/29/2014,73.8
10/06/2014,93
10/13/2014,93
10/20/2014,93
10/27/2014,93
11/03/2014,89.25
11/10/2014,89.25
11/17/2014,89.25
11/24/2014,89.25
12/01/2014,76.2
12/08/2014,76.2
12/15/2014,76.2
12/22/2014,76.2
12/29/2014,76.2
01/05/2015,94.25
01/12/2015,94.25
01/19/2015,94.25
01/26/2015,94.25
02/02/2015,90.5
02/09/2015,90.5
02/16/2015,90.5
02/23/2015,90.5
03/02/2015,80
03/09/2015,80
03/16/2015,80
03/23/2015,80
03/30/2015,80
04/06/2015,94.5
04/13/2015,94.5
04/20/2015,94.5
04/27/2015,94.5
05/04/2015,102
05/11/2015,102
05/18/2015,102
05/25/2015,102
