,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
12/10/2012,99866.9466805149
12/17/2012,99866.9466805149
12/24/2012,99866.9466805149
12/31/2012,99866.9466805149
01/07/2013,136416.67584158
01/14/2013,136416.67584158
01/21/2013,136416.67584158
01/28/2013,136416.67584158
02/04/2013,136416.67584158
02/11/2013,136416.67584158
02/18/2013,136416.67584158
02/25/2013,136416.67584158
03/04/2013,136416.67584158
03/11/2013,136416.67584158
03/18/2013,136416.67584158
03/25/2013,136416.67584158
04/01/2013,114620.700189782
04/08/2013,114620.700189782
04/15/2013,114620.700189782
04/22/2013,114620.700189782
04/29/2013,114620.700189782
05/06/2013,114620.700189782
05/13/2013,114620.700189782
05/20/2013,114620.700189782
05/27/2013,114620.700189782
06/03/2013,114620.700189782
06/10/2013,114620.700189782
06/17/2013,114620.700189782
06/24/2013,114620.700189782
07/01/2013,118519.679136819
07/08/2013,118519.679136819
07/15/2013,118519.679136819
07/22/2013,118519.679136819
07/29/2013,118519.679136819
08/05/2013,118519.679136819
08/12/2013,118519.679136819
08/19/2013,118519.679136819
08/26/2013,118519.679136819
09/02/2013,118519.679136819
09/09/2013,118519.679136819
09/16/2013,118519.679136819
09/23/2013,118519.679136819
09/30/2013,118519.679136819
10/07/2013,129619.982869649
10/14/2013,129619.982869649
10/21/2013,129619.982869649
10/28/2013,129619.982869649
11/04/2013,129619.982869649
11/11/2013,129619.982869649
11/18/2013,129619.982869649
11/25/2013,129619.982869649
12/02/2013,129619.982869649
12/09/2013,129619.982869649
