,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
08/10/1992,11.6639807692308
08/17/1992,11.6639807692308
08/24/1992,11.6639807692308
08/31/1992,11.6639807692308
09/07/1992,11.6639807692308
09/14/1992,11.6639807692308
09/21/1992,11.6639807692308
09/28/1992,11.6639807692308
10/05/1992,11.6639807692308
10/12/1992,11.6639807692308
10/19/1992,11.6639807692308
10/26/1992,11.6639807692308
11/02/1992,11.6639807692308
11/09/1992,11.6639807692308
11/16/1992,11.6639807692308
11/23/1992,11.6639807692308
11/30/1992,11.6639807692308
12/07/1992,11.6639807692308
12/14/1992,11.6639807692308
12/21/1992,11.6639807692308
12/28/1992,11.6639807692308
01/04/1993,12.8118653846154
01/11/1993,12.8118653846154
01/18/1993,12.8118653846154
01/25/1993,12.8118653846154
02/01/1993,12.8118653846154
02/08/1993,12.8118653846154
02/15/1993,12.8118653846154
02/22/1993,12.8118653846154
03/01/1993,12.8118653846154
03/08/1993,12.8118653846154
03/15/1993,12.8118653846154
03/22/1993,12.8118653846154
03/29/1993,12.8118653846154
04/05/1993,12.8118653846154
04/12/1993,12.8118653846154
04/19/1993,12.8118653846154
04/26/1993,12.8118653846154
05/03/1993,12.8118653846154
05/10/1993,12.8118653846154
05/17/1993,12.8118653846154
05/24/1993,12.8118653846154
05/31/1993,12.8118653846154
06/07/1993,12.8118653846154
06/14/1993,12.8118653846154
06/21/1993,12.8118653846154
06/28/1993,12.8118653846154
07/05/1993,12.8118653846154
07/12/1993,12.8118653846154
07/19/1993,12.8118653846154
07/26/1993,12.8118653846154
08/02/1993,12.8118653846154
08/09/1993,12.8118653846154
08/16/1993,12.8118653846154
08/23/1993,12.8118653846154
08/30/1993,12.8118653846154
09/06/1993,12.8118653846154
09/13/1993,12.8118653846154
09/20/1993,12.8118653846154
09/27/1993,12.8118653846154
10/04/1993,12.8118653846154
10/11/1993,12.8118653846154
10/18/1993,12.8118653846154
10/25/1993,12.8118653846154
11/01/1993,12.8118653846154
11/08/1993,12.8118653846154
11/15/1993,12.8118653846154
11/22/1993,12.8118653846154
11/29/1993,12.8118653846154
12/06/1993,12.8118653846154
12/13/1993,12.8118653846154
12/20/1993,12.8118653846154
12/27/1993,12.8118653846154
01/03/1994,13.9989038461538
01/10/1994,13.9989038461538
01/17/1994,13.9989038461538
01/24/1994,13.9989038461538
01/31/1994,13.9989038461538
02/07/1994,13.9989038461538
02/14/1994,13.9989038461538
02/21/1994,13.9989038461538
02/28/1994,13.9989038461538
03/07/1994,13.9989038461538
03/14/1994,13.9989038461538
03/21/1994,13.9989038461538
03/28/1994,13.9989038461538
04/04/1994,13.9989038461538
04/11/1994,13.9989038461538
04/18/1994,13.9989038461538
04/25/1994,13.9989038461538
05/02/1994,13.9989038461538
05/09/1994,13.9989038461538
05/16/1994,13.9989038461538
05/23/1994,13.9989038461538
05/30/1994,13.9989038461538
06/06/1994,13.9989038461538
06/13/1994,13.9989038461538
06/20/1994,13.9989038461538
06/27/1994,13.9989038461538
07/04/1994,13.9989038461538
