,Revenue: Tax: Taxes on International Trade: Taxes on Exports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,263949202
SR Code,SR5467655
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on exports are all levies on goods being transported out of the country or services being delivered to nonresidents by residents. Rebates on exported goods that are repayments of previously paid general consumption taxes, excise taxes, or import duties are deducted from the gross amounts receivable from these taxes, not from amounts receivable from export taxes.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,26.903013733198144
Variance,473.0682134136335
Standard Deviation,21.750131342445577
Skewness,-0.17848429673269647
Kurtosis,-1.7031315364199384
Coefficient Variation,0.8084644924224997
Min,0.07692307692307693
Max,57.31041625423077
Median,0.46153846153846156
Sum,
Subtract,
11/02/1992,15.7884615384615
11/09/1992,15.7884615384615
11/16/1992,15.7884615384615
11/23/1992,15.7884615384615
11/30/1992,15.7884615384615
12/07/1992,15.7884615384615
12/14/1992,15.7884615384615
12/21/1992,15.7884615384615
12/28/1992,15.7884615384615
01/04/1993,1.09615384615385
01/11/1993,1.09615384615385
01/18/1993,1.09615384615385
01/25/1993,1.09615384615385
02/01/1993,1.09615384615385
02/08/1993,1.09615384615385
02/15/1993,1.09615384615385
02/22/1993,1.09615384615385
03/01/1993,1.09615384615385
03/08/1993,1.09615384615385
03/15/1993,1.09615384615385
03/22/1993,1.09615384615385
03/29/1993,1.09615384615385
04/05/1993,1.09615384615385
04/12/1993,1.09615384615385
04/19/1993,1.09615384615385
04/26/1993,1.09615384615385
05/03/1993,1.09615384615385
05/10/1993,1.09615384615385
05/17/1993,1.09615384615385
05/24/1993,1.09615384615385
05/31/1993,1.09615384615385
06/07/1993,1.09615384615385
06/14/1993,1.09615384615385
06/21/1993,1.09615384615385
06/28/1993,1.09615384615385
07/05/1993,1.09615384615385
07/12/1993,1.09615384615385
07/19/1993,1.09615384615385
07/26/1993,1.09615384615385
08/02/1993,1.09615384615385
08/09/1993,1.09615384615385
08/16/1993,1.09615384615385
08/23/1993,1.09615384615385
08/30/1993,1.09615384615385
09/06/1993,1.09615384615385
09/13/1993,1.09615384615385
09/20/1993,1.09615384615385
09/27/1993,1.09615384615385
10/04/1993,1.09615384615385
10/11/1993,1.09615384615385
10/18/1993,1.09615384615385
10/25/1993,1.09615384615385
11/01/1993,1.09615384615385
11/08/1993,1.09615384615385
11/15/1993,1.09615384615385
11/22/1993,1.09615384615385
11/29/1993,1.09615384615385
12/06/1993,1.09615384615385
12/13/1993,1.09615384615385
12/20/1993,1.09615384615385
12/27/1993,1.09615384615385
01/02/1995,0.15384615384615
01/09/1995,0.15384615384615
01/16/1995,0.15384615384615
01/23/1995,0.15384615384615
01/30/1995,0.15384615384615
02/06/1995,0.15384615384615
02/13/1995,0.15384615384615
02/20/1995,0.15384615384615
02/27/1995,0.15384615384615
03/06/1995,0.15384615384615
03/13/1995,0.15384615384615
03/20/1995,0.15384615384615
03/27/1995,0.15384615384615
04/03/1995,0.15384615384615
04/10/1995,0.15384615384615
04/17/1995,0.15384615384615
04/24/1995,0.15384615384615
05/01/1995,0.15384615384615
05/08/1995,0.15384615384615
05/15/1995,0.15384615384615
05/22/1995,0.15384615384615
05/29/1995,0.15384615384615
06/05/1995,0.15384615384615
06/12/1995,0.15384615384615
06/19/1995,0.15384615384615
06/26/1995,0.15384615384615
07/03/1995,0.15384615384615
07/10/1995,0.15384615384615
07/17/1995,0.15384615384615
07/24/1995,0.15384615384615
07/31/1995,0.15384615384615
08/07/1995,0.15384615384615
08/14/1995,0.15384615384615
08/21/1995,0.15384615384615
08/28/1995,0.15384615384615
09/04/1995,0.15384615384615
09/11/1995,0.15384615384615
09/18/1995,0.15384615384615
09/25/1995,0.15384615384615
10/02/1995,0.15384615384615
10/09/1995,0.15384615384615
10/16/1995,0.15384615384615
10/23/1995,0.15384615384615
10/30/1995,0.15384615384615
11/06/1995,0.15384615384615
11/13/1995,0.15384615384615
11/20/1995,0.15384615384615
11/27/1995,0.15384615384615
12/04/1995,0.15384615384615
12/11/1995,0.15384615384615
12/18/1995,0.15384615384615
12/25/1995,0.15384615384615
01/01/1996,0.09433962264151
01/08/1996,0.09433962264151
01/15/1996,0.09433962264151
01/22/1996,0.09433962264151
01/29/1996,0.09433962264151
02/05/1996,0.09433962264151
02/12/1996,0.09433962264151
02/19/1996,0.09433962264151
02/26/1996,0.09433962264151
03/04/1996,0.09433962264151
03/11/1996,0.09433962264151
03/18/1996,0.09433962264151
03/25/1996,0.09433962264151
04/01/1996,0.09433962264151
04/08/1996,0.09433962264151
04/15/1996,0.09433962264151
04/22/1996,0.09433962264151
04/29/1996,0.09433962264151
05/06/1996,0.09433962264151
05/13/1996,0.09433962264151
05/20/1996,0.09433962264151
05/27/1996,0.09433962264151
06/03/1996,0.09433962264151
06/10/1996,0.09433962264151
06/17/1996,0.09433962264151
06/24/1996,0.09433962264151
07/01/1996,0.09433962264151
07/08/1996,0.09433962264151
07/15/1996,0.09433962264151
07/22/1996,0.09433962264151
07/29/1996,0.09433962264151
08/05/1996,0.09433962264151
08/12/1996,0.09433962264151
08/19/1996,0.09433962264151
08/26/1996,0.09433962264151
09/02/1996,0.09433962264151
09/09/1996,0.09433962264151
09/16/1996,0.09433962264151
09/23/1996,0.09433962264151
09/30/1996,0.09433962264151
10/07/1996,0.09433962264151
10/14/1996,0.09433962264151
10/21/1996,0.09433962264151
10/28/1996,0.09433962264151
11/04/1996,0.09433962264151
11/11/1996,0.09433962264151
11/18/1996,0.09433962264151
11/25/1996,0.09433962264151
12/02/1996,0.09433962264151
12/09/1996,0.09433962264151
12/16/1996,0.09433962264151
12/23/1996,0.09433962264151
12/30/1996,0.09433962264151
01/06/1997,0.07692307692308
01/13/1997,0.07692307692308
01/20/1997,0.07692307692308
01/27/1997,0.07692307692308
02/03/1997,0.07692307692308
02/10/1997,0.07692307692308
02/17/1997,0.07692307692308
02/24/1997,0.07692307692308
03/03/1997,0.07692307692308
03/10/1997,0.07692307692308
03/17/1997,0.07692307692308
03/24/1997,0.07692307692308
03/31/1997,0.07692307692308
04/07/1997,0.07692307692308
04/14/1997,0.07692307692308
04/21/1997,0.07692307692308
04/28/1997,0.07692307692308
05/05/1997,0.07692307692308
05/12/1997,0.07692307692308
05/19/1997,0.07692307692308
05/26/1997,0.07692307692308
06/02/1997,0.07692307692308
06/09/1997,0.07692307692308
06/16/1997,0.07692307692308
06/23/1997,0.07692307692308
06/30/1997,0.07692307692308
07/07/1997,0.07692307692308
07/14/1997,0.07692307692308
07/21/1997,0.07692307692308
07/28/1997,0.07692307692308
08/04/1997,0.07692307692308
08/11/1997,0.07692307692308
08/18/1997,0.07692307692308
08/25/1997,0.07692307692308
09/01/1997,0.07692307692308
09/08/1997,0.07692307692308
09/15/1997,0.07692307692308
09/22/1997,0.07692307692308
09/29/1997,0.07692307692308
10/06/1997,0.07692307692308
10/13/1997,0.07692307692308
10/20/1997,0.07692307692308
10/27/1997,0.07692307692308
11/03/1997,0.07692307692308
11/10/1997,0.07692307692308
11/17/1997,0.07692307692308
11/24/1997,0.07692307692308
12/01/1997,0.07692307692308
12/08/1997,0.07692307692308
12/15/1997,0.07692307692308
12/22/1997,0.07692307692308
12/29/1997,0.07692307692308
01/02/2006,0.46153846153846
01/09/2006,0.46153846153846
01/16/2006,0.46153846153846
01/23/2006,0.46153846153846
01/30/2006,0.46153846153846
02/06/2006,0.46153846153846
02/13/2006,0.46153846153846
02/20/2006,0.46153846153846
02/27/2006,0.46153846153846
03/06/2006,0.46153846153846
03/13/2006,0.46153846153846
03/20/2006,0.46153846153846
03/27/2006,0.46153846153846
04/03/2006,0.46153846153846
04/10/2006,0.46153846153846
04/17/2006,0.46153846153846
04/24/2006,0.46153846153846
05/01/2006,0.46153846153846
05/08/2006,0.46153846153846
05/15/2006,0.46153846153846
05/22/2006,0.46153846153846
05/29/2006,0.46153846153846
06/05/2006,0.46153846153846
06/12/2006,0.46153846153846
06/19/2006,0.46153846153846
06/26/2006,0.46153846153846
07/03/2006,0.46153846153846
07/10/2006,0.46153846153846
07/17/2006,0.46153846153846
07/24/2006,0.46153846153846
07/31/2006,0.46153846153846
08/07/2006,0.46153846153846
08/14/2006,0.46153846153846
08/21/2006,0.46153846153846
08/28/2006,0.46153846153846
09/04/2006,0.46153846153846
09/11/2006,0.46153846153846
09/18/2006,0.46153846153846
09/25/2006,0.46153846153846
10/02/2006,0.46153846153846
10/09/2006,0.46153846153846
10/16/2006,0.46153846153846
10/23/2006,0.46153846153846
10/30/2006,0.46153846153846
11/06/2006,0.46153846153846
11/13/2006,0.46153846153846
11/20/2006,0.46153846153846
11/27/2006,0.46153846153846
12/04/2006,0.46153846153846
12/11/2006,0.46153846153846
12/18/2006,0.46153846153846
12/25/2006,0.46153846153846
01/01/2007,0.62264150943396
01/08/2007,0.62264150943396
01/15/2007,0.62264150943396
01/22/2007,0.62264150943396
01/29/2007,0.62264150943396
02/05/2007,0.62264150943396
02/12/2007,0.62264150943396
02/19/2007,0.62264150943396
02/26/2007,0.62264150943396
03/05/2007,0.62264150943396
03/12/2007,0.62264150943396
03/19/2007,0.62264150943396
03/26/2007,0.62264150943396
04/02/2007,0.62264150943396
04/09/2007,0.62264150943396
04/16/2007,0.62264150943396
04/23/2007,0.62264150943396
04/30/2007,0.62264150943396
05/07/2007,0.62264150943396
05/14/2007,0.62264150943396
05/21/2007,0.62264150943396
05/28/2007,0.62264150943396
06/04/2007,0.62264150943396
06/11/2007,0.62264150943396
06/18/2007,0.62264150943396
06/25/2007,0.62264150943396
07/02/2007,0.62264150943396
07/09/2007,0.62264150943396
07/16/2007,0.62264150943396
07/23/2007,0.62264150943396
07/30/2007,0.62264150943396
08/06/2007,0.62264150943396
08/13/2007,0.62264150943396
08/20/2007,0.62264150943396
08/27/2007,0.62264150943396
09/03/2007,0.62264150943396
09/10/2007,0.62264150943396
09/17/2007,0.62264150943396
09/24/2007,0.62264150943396
10/01/2007,0.62264150943396
10/08/2007,0.62264150943396
10/15/2007,0.62264150943396
10/22/2007,0.62264150943396
10/29/2007,0.62264150943396
11/05/2007,0.62264150943396
11/12/2007,0.62264150943396
11/19/2007,0.62264150943396
11/26/2007,0.62264150943396
12/03/2007,0.62264150943396
12/10/2007,0.62264150943396
12/17/2007,0.62264150943396
12/24/2007,0.62264150943396
12/31/2007,0.62264150943396
01/04/2016,51.3848293923077
01/11/2016,51.3848293923077
01/18/2016,51.3848293923077
01/25/2016,51.3848293923077
02/01/2016,51.3848293923077
02/08/2016,51.3848293923077
02/15/2016,51.3848293923077
02/22/2016,51.3848293923077
02/29/2016,51.3848293923077
03/07/2016,51.3848293923077
03/14/2016,51.3848293923077
03/21/2016,51.3848293923077
03/28/2016,51.3848293923077
04/04/2016,51.3848293923077
04/11/2016,51.3848293923077
04/18/2016,51.3848293923077
04/25/2016,51.3848293923077
05/02/2016,51.3848293923077
05/09/2016,51.3848293923077
05/16/2016,51.3848293923077
05/23/2016,51.3848293923077
05/30/2016,51.3848293923077
06/06/2016,51.3848293923077
06/13/2016,51.3848293923077
06/20/2016,51.3848293923077
06/27/2016,51.3848293923077
07/04/2016,51.3848293923077
07/11/2016,51.3848293923077
07/18/2016,51.3848293923077
07/25/2016,51.3848293923077
