,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
08/10/1998,392.865384615385
08/17/1998,392.865384615385
08/24/1998,392.865384615385
08/31/1998,392.865384615385
09/07/1998,392.865384615385
09/14/1998,392.865384615385
09/21/1998,392.865384615385
09/28/1998,392.865384615385
10/05/1998,392.865384615385
10/12/1998,392.865384615385
10/19/1998,392.865384615385
10/26/1998,392.865384615385
11/02/1998,392.865384615385
11/09/1998,392.865384615385
11/16/1998,392.865384615385
11/23/1998,392.865384615385
11/30/1998,392.865384615385
12/07/1998,392.865384615385
12/14/1998,392.865384615385
12/21/1998,392.865384615385
12/28/1998,392.865384615385
01/04/1999,542.826923076923
01/11/1999,542.826923076923
01/18/1999,542.826923076923
01/25/1999,542.826923076923
02/01/1999,542.826923076923
02/08/1999,542.826923076923
02/15/1999,542.826923076923
02/22/1999,542.826923076923
03/01/1999,542.826923076923
03/08/1999,542.826923076923
03/15/1999,542.826923076923
03/22/1999,542.826923076923
03/29/1999,542.826923076923
04/05/1999,542.826923076923
04/12/1999,542.826923076923
04/19/1999,542.826923076923
04/26/1999,542.826923076923
05/03/1999,542.826923076923
05/10/1999,542.826923076923
05/17/1999,542.826923076923
05/24/1999,542.826923076923
05/31/1999,542.826923076923
06/07/1999,542.826923076923
06/14/1999,542.826923076923
06/21/1999,542.826923076923
06/28/1999,542.826923076923
07/05/1999,542.826923076923
07/12/1999,542.826923076923
07/19/1999,542.826923076923
07/26/1999,542.826923076923
08/02/1999,542.826923076923
08/09/1999,542.826923076923
08/16/1999,542.826923076923
08/23/1999,542.826923076923
08/30/1999,542.826923076923
09/06/1999,542.826923076923
09/13/1999,542.826923076923
09/20/1999,542.826923076923
09/27/1999,542.826923076923
10/04/1999,542.826923076923
10/11/1999,542.826923076923
10/18/1999,542.826923076923
10/25/1999,542.826923076923
11/01/1999,542.826923076923
11/08/1999,542.826923076923
11/15/1999,542.826923076923
11/22/1999,542.826923076923
11/29/1999,542.826923076923
12/06/1999,542.826923076923
12/13/1999,542.826923076923
12/20/1999,542.826923076923
12/27/1999,542.826923076923
01/03/2000,528.019230769231
01/10/2000,528.019230769231
01/17/2000,528.019230769231
01/24/2000,528.019230769231
01/31/2000,528.019230769231
02/07/2000,528.019230769231
02/14/2000,528.019230769231
02/21/2000,528.019230769231
02/28/2000,528.019230769231
03/06/2000,528.019230769231
03/13/2000,528.019230769231
03/20/2000,528.019230769231
03/27/2000,528.019230769231
04/03/2000,528.019230769231
04/10/2000,528.019230769231
04/17/2000,528.019230769231
04/24/2000,528.019230769231
05/01/2000,528.019230769231
05/08/2000,528.019230769231
05/15/2000,528.019230769231
05/22/2000,528.019230769231
05/29/2000,528.019230769231
06/05/2000,528.019230769231
06/12/2000,528.019230769231
06/19/2000,528.019230769231
06/26/2000,528.019230769231
07/03/2000,528.019230769231
07/10/2000,528.019230769231
07/17/2000,528.019230769231
07/24/2000,528.019230769231
07/31/2000,528.019230769231
08/07/2000,528.019230769231
08/14/2000,528.019230769231
08/21/2000,528.019230769231
08/28/2000,528.019230769231
09/04/2000,528.019230769231
09/11/2000,528.019230769231
09/18/2000,528.019230769231
09/25/2000,528.019230769231
10/02/2000,528.019230769231
10/09/2000,528.019230769231
10/16/2000,528.019230769231
10/23/2000,528.019230769231
10/30/2000,528.019230769231
11/06/2000,528.019230769231
11/13/2000,528.019230769231
11/20/2000,528.019230769231
11/27/2000,528.019230769231
12/04/2000,528.019230769231
12/11/2000,528.019230769231
12/18/2000,528.019230769231
12/25/2000,528.019230769231
01/01/2001,653.509433962264
01/08/2001,653.509433962264
01/15/2001,653.509433962264
01/22/2001,653.509433962264
01/29/2001,653.509433962264
02/05/2001,653.509433962264
02/12/2001,653.509433962264
02/19/2001,653.509433962264
02/26/2001,653.509433962264
03/05/2001,653.509433962264
03/12/2001,653.509433962264
03/19/2001,653.509433962264
03/26/2001,653.509433962264
04/02/2001,653.509433962264
04/09/2001,653.509433962264
04/16/2001,653.509433962264
04/23/2001,653.509433962264
04/30/2001,653.509433962264
05/07/2001,653.509433962264
05/14/2001,653.509433962264
05/21/2001,653.509433962264
05/28/2001,653.509433962264
06/04/2001,653.509433962264
06/11/2001,653.509433962264
06/18/2001,653.509433962264
06/25/2001,653.509433962264
07/02/2001,653.509433962264
07/09/2001,653.509433962264
07/16/2001,653.509433962264
07/23/2001,653.509433962264
07/30/2001,653.509433962264
08/06/2001,653.509433962264
08/13/2001,653.509433962264
08/20/2001,653.509433962264
08/27/2001,653.509433962264
09/03/2001,653.509433962264
09/10/2001,653.509433962264
09/17/2001,653.509433962264
09/24/2001,653.509433962264
10/01/2001,653.509433962264
10/08/2001,653.509433962264
10/15/2001,653.509433962264
10/22/2001,653.509433962264
10/29/2001,653.509433962264
11/05/2001,653.509433962264
11/12/2001,653.509433962264
11/19/2001,653.509433962264
11/26/2001,653.509433962264
12/03/2001,653.509433962264
12/10/2001,653.509433962264
12/17/2001,653.509433962264
12/24/2001,653.509433962264
12/31/2001,653.509433962264
01/07/2002,723.442307692308
01/14/2002,723.442307692308
01/21/2002,723.442307692308
01/28/2002,723.442307692308
02/04/2002,723.442307692308
02/11/2002,723.442307692308
02/18/2002,723.442307692308
02/25/2002,723.442307692308
03/04/2002,723.442307692308
03/11/2002,723.442307692308
03/18/2002,723.442307692308
03/25/2002,723.442307692308
04/01/2002,723.442307692308
04/08/2002,723.442307692308
04/15/2002,723.442307692308
04/22/2002,723.442307692308
04/29/2002,723.442307692308
05/06/2002,723.442307692308
05/13/2002,723.442307692308
05/20/2002,723.442307692308
05/27/2002,723.442307692308
06/03/2002,723.442307692308
06/10/2002,723.442307692308
06/17/2002,723.442307692308
06/24/2002,723.442307692308
07/01/2002,723.442307692308
07/08/2002,723.442307692308
07/15/2002,723.442307692308
07/22/2002,723.442307692308
07/29/2002,723.442307692308
08/05/2002,723.442307692308
08/12/2002,723.442307692308
08/19/2002,723.442307692308
08/26/2002,723.442307692308
09/02/2002,723.442307692308
09/09/2002,723.442307692308
09/16/2002,723.442307692308
09/23/2002,723.442307692308
09/30/2002,723.442307692308
10/07/2002,723.442307692308
10/14/2002,723.442307692308
10/21/2002,723.442307692308
10/28/2002,723.442307692308
11/04/2002,723.442307692308
11/11/2002,723.442307692308
11/18/2002,723.442307692308
11/25/2002,723.442307692308
12/02/2002,723.442307692308
12/09/2002,723.442307692308
12/16/2002,723.442307692308
12/23/2002,723.442307692308
12/30/2002,723.442307692308
01/06/2003,757.634615384615
01/13/2003,757.634615384615
01/20/2003,757.634615384615
01/27/2003,757.634615384615
02/03/2003,757.634615384615
02/10/2003,757.634615384615
02/17/2003,757.634615384615
02/24/2003,757.634615384615
03/03/2003,757.634615384615
03/10/2003,757.634615384615
03/17/2003,757.634615384615
03/24/2003,757.634615384615
03/31/2003,757.634615384615
04/07/2003,757.634615384615
04/14/2003,757.634615384615
04/21/2003,757.634615384615
04/28/2003,757.634615384615
05/05/2003,757.634615384615
05/12/2003,757.634615384615
05/19/2003,757.634615384615
05/26/2003,757.634615384615
06/02/2003,757.634615384615
06/09/2003,757.634615384615
06/16/2003,757.634615384615
06/23/2003,757.634615384615
06/30/2003,757.634615384615
07/07/2003,757.634615384615
07/14/2003,757.634615384615
07/21/2003,757.634615384615
