Date,fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties ,New Vehicle Registrations,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Diesel User Price,Petrol User Price,Consumption: Oil: Asia Pacific: Sri Lanka,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel
7/1/2002,0.857,8.115384615,12.76320417,2351.2,65.4,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
7/8/2002,0.857,8.115384615,12.76320417,2351.2,65.4,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
7/15/2002,0.857,8.115384615,12.76320417,2351.2,65.4,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
7/22/2002,0.857,8.115384615,12.76320417,2351.2,65.4,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
7/29/2002,0.857,8.115384615,12.76320417,2351.2,65.4,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
8/5/2002,0.857,8.115384615,12.76320417,2708.5,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
8/12/2002,0.857,8.115384615,12.76320417,2708.5,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
8/19/2002,0.857,8.115384615,12.76320417,2708.5,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
8/26/2002,0.857,8.115384615,12.76320417,2708.5,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
9/2/2002,0.857,8.115384615,12.76320417,2276.4,84.75,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
9/9/2002,0.857,8.115384615,12.76320417,2276.4,84.75,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
9/16/2002,0.857,8.115384615,12.76320417,2276.4,84.75,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
9/23/2002,0.857,8.115384615,12.76320417,2276.4,84.75,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
9/30/2002,0.857,8.115384615,12.76320417,2276.4,63.8,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
10/7/2002,0.857,8.115384615,12.76320417,3132,63.8,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
10/14/2002,0.857,8.115384615,12.76320417,3132,63.8,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
10/21/2002,0.857,8.115384615,12.76320417,3132,63.8,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
10/28/2002,0.857,8.115384615,12.76320417,3132,63.8,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
11/4/2002,0.857,8.115384615,12.76320417,2994.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
11/11/2002,0.857,8.115384615,12.76320417,2994.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
11/18/2002,0.857,8.115384615,12.76320417,2994.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
11/25/2002,0.857,8.115384615,12.76320417,2994.75,83.25,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
12/2/2002,0.857,8.115384615,12.76320417,2500.2,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
12/9/2002,0.857,8.115384615,12.76320417,2500.2,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
12/16/2002,0.857,8.115384615,12.76320417,2500.2,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
12/23/2002,0.857,8.115384615,12.76320417,2500.2,81.5,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
12/30/2002,0.857,8.115384615,12.76320417,2500.2,69.2,5.576923077,723.4423077,0.212519457,0.034615385,0.063076923,1.508485074,5.326923077,0.173076923,36.34615385
1/6/2003,0.892,8.307692308,14.7568725,3816.5,69.2,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
1/13/2003,0.892,8.307692308,14.7568725,3816.5,69.2,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
1/20/2003,0.892,8.307692308,14.7568725,3816.5,69.2,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
1/27/2003,0.892,8.307692308,14.7568725,3816.5,69.2,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
2/3/2003,0.892,8.307692308,14.7568725,3769.5,82,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
2/10/2003,0.892,8.307692308,14.7568725,3769.5,82,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
2/17/2003,0.892,8.307692308,14.7568725,3769.5,82,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
2/24/2003,0.892,8.307692308,14.7568725,3769.5,82,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
3/3/2003,0.892,8.307692308,14.7568725,3213.8,82.25,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
3/10/2003,0.892,8.307692308,14.7568725,3213.8,82.25,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
3/17/2003,0.892,8.307692308,14.7568725,3213.8,82.25,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
3/24/2003,0.892,8.307692308,14.7568725,3213.8,82.25,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
3/31/2003,0.892,8.307692308,14.7568725,3213.8,72.4,7.730769231,757.6346154,0.185495614,0.035,0.061730769,1.490665784,7.211538462,0.307692308,35.80769231
